caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
384.0	6.0	0	-1.0	0.0	1	88.0	3.0	2.0	0.0	0.0	1
389.0	5.0	0	-0.5	0.0	1	58.0	5.0	17.0	2.0	0.0	1
392.0	7.0	0	-1.0	0.0	1	50.0	5.0	8.0	1.0	0.0	1
396.0	4.0	0	-1.0	1.0	1	41.0	3.0	19.0	3.0	0.0	1
397.0	6.0	1	0.0	1.0	1	33.0	6.0	18.0	6.0	1.0	1
402.0	4.0	0	0.0	1.0	1	55.0	7.0	13.0	2.0	0.0	1
406.0	4.0	0	-0.5	1.0	0	48.0	6.0	14.0	2.0	0.0	1
407.0	4.0	0	-0.5	0.0	1	25.0	2.0	9.0	2.0	0.33333334	1
411.0	1.0	0	-1.0	0.0	0	77.0	1.0	11.0	1.0	0.0	1
422.0	3.0	0	0.0	1.0	1	65.0	3.0	13.0	0.0	0.0	1
424.0	4.0	1	-0.5	1.0	1	63.0	3.0	14.0	6.0	1.0	1
426.0	2.0	0	-0.5	1.0	0	52.0	6.0	17.0	0.0	0.0	1
428.0	4.0	0	-1.0	0.0	1	31.0	7.0	15.0	1.0	0.0	1
430.0	3.0	0	-1.0	1.0	1	51.0	4.0	15.0	0.0	0.0	1
433.0	4.0	0	-1.0	0.0	1	29.0	5.0	1.0	0.0	0.0	1
434.0	4.0	1	0.5	1.0	0	25.0	4.0	14.0	4.0	1.0	1
437.0	5.0	0	-0.5	1.0	0	46.0	6.0	17.0	5.0	0.0	1
438.0	4.0	0	-1.0	1.0	1	64.0	3.0	13.0	0.0	0.0	1
439.0	2.0	0	0.0	1.0	1	28.0	6.0	20.0	0.0	0.0	1
443.0	6.0	1	0.0	1.0	0	39.0	3.0	18.0	5.0	0.33333334	1
444.0	6.0	1	0.0	1.0	0	68.0	6.0	23.0	5.0	0.6666667	1
445.0	4.0	0	-0.5	1.0	0	76.0	4.0	14.0	0.0	0.0	1
452.0	4.0	1	0.5	1.0	0	64.0	2.0	13.0	5.0	1.0	1
457.0	6.0	1	0.0	1.0	1	62.0	7.0	22.0	4.0	1.0	1
458.0	5.0	0	-1.0	1.0	0	32.0	6.0	19.0	4.0	0.0	1
459.0	4.0	1	1.0	1.0	0	56.0	3.0	19.0	1.0	0.0	1
462.0	1.0	0	-0.5	1.0	1	24.0	6.0	5.0	2.0	0.0	1
467.0	4.0	1	0.5	1.0	0	36.0	3.0	18.0	4.0	0.6666667	1
471.0	6.0	1	1.0	1.0	0	67.0	5.0	18.0	6.0	1.0	1
472.0	6.0	1	0.5	1.0	0	40.0	4.0	13.0	6.0	0.33333334	1
475.0	4.0	0	-1.0	0.0	1	23.0	4.0	2.0	1.0	0.0	1
476.0	4.0	0	-1.0	1.0	1	79.0	3.0	19.0	0.0	0.0	1
478.0	4.0	1	0.5	1.0	1	58.0	3.0	12.0	1.0	1.0	1
481.0	4.0	0	-1.0	1.0	0	43.0	3.0	17.0	2.0	0.0	1
497.0	2.0	0	-0.5	1.0	0	34.0	3.0	12.0	1.0	0.33333334	1
498.0	6.0	1	0.0	1.0	1	54.0	3.0	18.0	6.0	1.0	1
500.0	2.0	0	-0.5	1.0	1	56.0	3.0	23.0	0.0	0.0	1
503.0	2.0	0	-0.5	1.0	1	24.0	5.0	12.0	0.0	0.6666667	1
507.0	2.0	0	0.0	1.0	1	24.0	6.0	17.0	2.0	0.0	1
508.0	2.0	0	0.0	1.0	1	35.0	7.0	23.0	0.0	0.0	1
509.0	4.0	1	0.0	1.0	1	82.0	2.0	10.0	6.0	1.0	1
511.0	1.0	0	0.0	1.0	1	53.0	6.0	23.0	1.0	0.0	1
512.0	2.0	0	-0.5	1.0	1	45.0	4.0	15.0	2.0	0.0	1
513.0	6.0	0	-1.0	0.0	0	40.0	3.0	18.0	3.0	0.6666667	1
527.0	5.0	0	-0.5	0.0	1	39.0	7.0	17.0	1.0	0.0	1
530.0	6.0	0	0.0	1.0	1	51.0	3.0	23.0	2.0	0.0	1
531.0	6.0	1	0.0	1.0	1	40.0	7.0	20.0	6.0	1.0	1
534.0	6.0	1	0.0	1.0	0	43.0	4.0	16.0	3.0	0.0	1
535.0	5.0	1	0.5	1.0	0	62.0	6.0	23.0	5.0	0.6666667	1
536.0	5.0	1	0.5	1.0	0	48.0	7.0	19.0	5.0	0.6666667	1
537.0	4.0	0	0.5	1.0	1	65.0	3.0	13.0	0.0	0.0	1
539.0	3.0	0	0.0	1.0	0	48.0	7.0	17.0	1.0	0.0	1
541.0	4.0	0	-0.5	0.0	1	63.0	3.0	11.0	1.0	0.0	1
542.0	5.0	1	0.5	1.0	0	69.0	6.0	19.0	5.0	0.33333334	1
544.0	4.0	1	0.0	1.0	1	58.0	4.0	20.0	5.0	1.0	1
545.0	7.0	1	0.5	0.0	0	19.0	4.0	3.0	4.0	1.0	1
547.0	3.0	0	-0.5	1.0	0	28.0	5.0	17.0	1.0	0.0	1
551.0	4.0	0	-0.5	1.0	1	44.0	3.0	10.0	0.0	0.0	1
558.0	5.0	1	0.5	1.0	1	38.0	4.0	17.0	1.0	1.0	1
564.0	4.0	1	1.0	1.0	0	52.0	3.0	20.0	4.0	1.0	1
565.0	6.0	1	0.5	1.0	0	72.0	7.0	23.0	5.0	0.6666667	1
572.0	2.0	0	-1.0	1.0	1	31.0	7.0	21.0	0.0	0.0	1
576.0	4.0	0	0.0	0.0	1	18.0	3.0	1.0	1.0	0.33333334	1
